id,origin,destination,arrival,board,alight,route,board_stop
B3-33,B3,B3,101.09731709361056,106.12748106762317,,B,B3
A3-14,A3,A3,95.25526584302821,110.0934372619768,,A,A3
A3-15,A3,A3,96.74690269333566,110.13510392864347,,A,A3
A3-16,A3,A3,105.24432305653175,110.17677059531015,,A,A3
B1-45,B1,B3,99.83665853512238,111.54167785682687,,B,B1
B1-46,B1,B2,101.72235706060725,111.58334452349354,,B,B1
B1-47,B1,B3,102.75747333513556,111.62501119016021,,B,B1
B1-48,B1,B3,105.99363690945336,111.66667785682688,,B,B1
B1-49,B1,B2,108.56191364337262,111.70834452349355,,B,B1
B1-50,B1,B2,108.78164295886283,111.75001119016022,,B,B1
B1-51,B1,B2,109.22237849557136,111.7916778568269,,B,B1
B2-33,B2,B3,101.74829477203602,116.0410983414191,,B,B2
B2-34,B2,B3,103.1801868247415,116.08276500808577,,B,B2
B2-35,B2,B3,110.76051132176568,116.12443167475244,,B,B2
B2-36,B2,B3,114.39105261273315,116.16609834141912,,B,B2
A1-38,A1,A3,101.63589787787065,116.44246703016984,,A,A1
A1-39,A1,A2,104.50066907639318,116.48413369683651,,A,A1
A1-40,A1,A2,110.73247641752636,116.52580036350318,,A,A1
A1-41,A1,A3,110.75887529070063,116.56746703016985,,A,A1
A1-42,A1,A2,111.06458072337477,116.60913369683652,,A,A1
A1-43,A1,A2,111.07907911495134,116.6508003635032,,A,A1
A1-44,A1,A2,111.57998144667762,116.69246703016987,,A,A1
A1-45,A1,A3,114.94373940854851,116.73413369683654,,A,A1
A1-46,A1,A3,116.0684105768859,116.77580036350321,,A,A1
A2-26,A2,A3,110.54544304511411,121.13680747415275,,A,A2
A2-27,A2,A3,114.27541883297647,121.17847414081942,,A,A2
A2-28,A2,A3,115.29121830220856,121.22014080748609,,A,A2
A2-29,A2,A3,119.48631355941964,121.26180747415276,,A,A2
A2-30,A2,A3,120.60511437406933,121.30347414081943,,A,A2
B3-34,B3,B3,111.4387862990402,122.25847794384374,,B,B3
B3-35,B3,B3,115.0555946905808,122.30014461051042,,B,B3
B3-36,B3,B3,121.29358356178895,122.34181127717709,,B,B3
B1-52,B1,B2,114.94295474601513,126.71157718026865,,B,B1
B1-53,B1,B3,115.62001414364715,126.75324384693532,,B,B1
